,is_fraud,avg_time_between_sent_txns,avg_time_between_received_txns,first_and_last_txns_time_diff,num_sent_txns,num_received_txns,num_create_contracts_txns,num_unique_senders_to_acc,num_unique_recipients_from_acc,min_value_received,max_value_received,avg_value_received,min_value_sent,max_value_sent,avg_value_sent,total_transactions,total_ether_sent,total_ether_received,total_ERC20_txns,total_ERC20_sent_in_ether,total_ERC20_sent_contract_in_ether,ERC20_num_unique_recipients_from_acc,ERC20_num_unique_senders_to_acc,ERC20_num_unique_senders_contract_to_acc,ERC20_min_value_sent,ERC20_max_value_sent,ERC20_avg_value_sent,has_sent_ERC20,has_received_ERC20,has_created_contracts,total_ether_volume,num_sent_to_total_txns_ratio,num_received_to_total_txns_ratio,total_value_sent_ratio,total_value_received_ratio
0,0,844.26,1093.71,704785.63,721,89,0,40,118,0.0,45.806785,6.589513,0.0,31.22,1.200681,810,865.6910932,586.4666748,265.0,35603169.52,0.0,30.0,54.0,58.0,0.0,16830998.35,271779.92,1,1,0,1452.157768,0.8901234567901235,0.10987654320987654,0.40385878705708234,0.5961412129429176
1,0,12709.07,2958.44,1218216.73,94,8,0,5,14,0.0,2.613269,0.385685,0.0,1.8,0.032844,102,3.08729702,3.085478209,8.0,2.260809454,0.0,1.0,5.0,7.0,2.260809,2.260809,2.260809,1,1,0,6.172775229,0.9215686274509803,0.0784313725490196,0.4998526747749169,0.5001473252250831
2,0,246194.54,2434.02,516729.3,2,10,0,10,2,0.113119,1.165453,0.358906,0.05,3.538616,1.7943080000000002,12,3.58861565,3.58905665,8.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0,1,0,7.177672299999999,0.16666666666666666,0.8333333333333334,0.5000307202656772,0.4999692797343228
3,0,10219.6,15785.09,397555.9,25,9,0,7,13,0.0,500.0,99.48884,0.0,450.0,70.001834,34,1750.0458620000004,895.399559,14.0,11412.23068,0.0,2.0,11.0,11.0,100.0,9029.23068,3804.076893,1,1,0,2645.4454210000004,0.7352941176470589,0.2647058823529412,0.33846835466427105,0.661531645335729
4,0,36.61,10707.77,382472.42,4598,20,1,7,19,0.0,12.802411,2.671095,0.0,9.0,0.022688,4619,104.3188828,53.4218965,42.0,123539.9329,0.0,4.0,23.0,27.0,0.0,45000.0,13726.65922,1,1,1,157.74077929999999,0.9954535613769214,0.004329941545789132,0.33866890183418796,0.6613310981658121
5,0,9900.12,375.48,20926.68,2,3,0,2,1,0.7241479999999999,4.813776,3.2349080000000003,4.1668,5.5369160000000015,4.851858,5,9.70371586,9.70472386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,19.40843972,0.4,0.6,0.5000259680843628,0.4999740319156372
6,0,69.46,629.44,8660.35,25,11,0,9,20,0.049,2.65,1.098115,0.009457,4.284785,0.482496,36,12.0623941,12.079266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,24.141660100000003,0.6944444444444444,0.3055555555555556,0.500349435372922,0.49965056462707796
7,0,1497.39,176.84,319828.05,213,5,0,3,3,0.11849,2.0,0.891098,0.0,0.7,0.040861,218,8.703392156,4.45548974,7.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0,1,0,13.158881896,0.9770642201834863,0.022935779816513763,0.33859181769496444,0.6614081823050355
8,0,0.0,0.0,496.62,1,1,0,1,1,2.0,2.0,2.0,1.99938,1.99938,1.99938,2,1.99938,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.99938,0.5,0.5,0.5000775120143622,0.49992248798563776
9,0,2570.59,3336.01,30572.7,8,3,0,2,4,0.1,40.0,16.7,0.1,40.0,18.634625,11,149.077,50.1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,0,199.177,0.7272727272727273,0.2727272727272727,0.2515350667998815,0.7484649332001185
