is_fraud,ERC20_num_unique_senders_to_acc,total_transactions,ERC20_num_unique_senders_contract_to_acc,total_value_sent_ratio,avg_value_sent,num_received_to_total_txns_ratio,min_value_sent,ERC20_num_unique_recipients_from_acc,num_unique_senders_to_acc,max_value_received,total_ether_received,num_unique_recipients_from_acc,first_and_last_txns_time_diff,total_value_received_ratio,has_sent_ERC20,max_value_sent,avg_time_between_received_txns,min_value_received,avg_time_between_sent_txns,total_ERC20_sent_contract_in_ether,ERC20_max_value_sent
0,0.0,111,0.0,0.5006717264003188,0.156104,0.5045045045045045,0.015341,0.0,3,1.002086,8.608801423,2,450875.98,0.4993282735996812,0,1.001666,8048.14,0.015761,3.28,0.0,0.0
0,0.0,260,0.0,0.5003880960468025,0.270446,0.5,0.02558,0.0,2,0.791872,35.21254393,2,136967.03,0.4996119039531977,0,0.791452,957.18,0.026,96.42,0.0,0.0
0,0.0,6,0.0,0.5000052431242871,25.24947,0.3333333333333333,0.004454,0.0,2,74.623591,101.0,2,331.23,0.4999947568757129,0,100.41452,0.02,26.376409,82.8,0.0,0.0
1,0.0,7,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,3,0.0,0.0,0,176158.57,0.0,0,0.0,29359.76,0.0,0.0,0.0,0.0
1,0.0,6,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,3,0.0,0.0,0,173765.32,0.0,0,0.0,34753.06,0.0,0.0,0.0,0.0
0,0.0,3,0.0,0.5000024361504835,50.499508,0.3333333333333333,1.067,0.0,1,101.0,101.0,2,317.9,0.4999975638495165,0,99.932016,0.0,101.0,158.95,0.0,0.0
1,1.0,2,1.0,0.5384615384615385,0.06,0.5,0.06,0.0,1,0.07,0.07,1,88361.48,0.4615384615384615,1,0.06,0.0,0.07,0.0,0.0,0.0
1,3.0,25,3.0,0.500057486525823,3.743925,0.64,0.5,0.0,14,18.338727,33.70307570000001,5,143703.97,0.4999425134741769,1,11.545327,105.26,0.001164,15779.98,0.0,0.0
1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,4,0.0,0.5000038465642453,33.666149,0.25,0.126891,0.0,1,101.0,101.0,3,70.3,0.4999961534357546,0,51.234565,0.0,101.0,23.43,0.0,0.0
0,0.0,7,0.0,1.0,0.0,0.8571428571428571,0.0,0.0,2,30.0,47.3,0,88329.73,0.0,0,0.0,14721.62,0.0,0.0,0.0,0.0
1,1.0,5,1.0,0.5003571449771317,1.89,0.8,1.89,0.0,3,0.8557549999999999,1.892701946,1,3949.47,0.4996428550228683,1,1.89,779.08,0.010018,0.0,0.0,0.0
0,0.0,20,0.0,0.5001225502057539,0.9087,0.7,0.216889,0.0,3,1.879394,5.454870959,2,566133.27,0.499877449794246,0,1.897509,31583.9,0.001959,20659.78,0.0,0.0
0,0.0,2,0.0,0.500043627014634,5.998953,0.5,5.998953,0.0,1,6.0,6.0,1,57.7,0.4999563729853659,0,5.998953,0.0,6.0,0.0,0.0,0.0
0,0.0,2,0.0,0.5027194504394193,0.056687,0.5,0.056687,0.0,1,0.057307,0.05730681,1,597.03,0.4972805495605807,0,0.056687,0.0,0.057307,0.0,0.0,0.0
0,0.0,2,0.0,0.5000310019221191,4.99938,0.5,4.99938,0.0,1,5.0,5.0,1,263.3,0.4999689980778808,0,4.99938,0.0,5.0,0.0,0.0,0.0
0,0.0,2,0.0,0.5210286402339382,0.007797,0.5,0.007797,0.0,1,0.008481,0.0084812,1,631600.65,0.4789713597660618,0,0.007797,0.0,0.008481,0.0,0.0,0.0
0,1.0,24,1.0,1.0,0.0,0.9583333333333334,0.0,0.0,5,28.996,48.17687541,0,193608.08,0.0,0,0.0,8417.74,0.0,0.0,0.0,0.0
1,25.0,252,42.0,0.1170124490169938,1.838358,0.0674603174603174,0.0,5.0,14,16.4,57.25,63,4109.78,0.8829875509830062,1,62.781207,145.37,0.4,6.97,0.0,15139640.0
1,0.0,3,0.0,0.5001207791681691,0.999517,0.3333333333333333,0.05,0.0,1,2.0,2.0,2,8524.02,0.4998792208318309,0,1.949034,0.0,2.0,4262.01,0.0,0.0
0,0.0,37,0.0,0.5001484380192386,0.707156,0.5135135135135135,0.101716,0.0,5,2.001464,12.73636704,1,410650.88,0.4998515619807614,0,2.001044,21610.71,0.075725,2.63,0.0,0.0
0,0.0,176,0.0,0.5023323551618715,0.0896179999999999,0.5170454545454546,0.000462,0.0,69,0.49665,7.68890835,2,17438.25,0.4976676448381285,0,0.49581,190.78,0.001302,0.91,0.0,0.0
0,2.0,130,2.0,1.0,0.0,0.9923076923076924,0.0,0.0,3,0.573611,31.59431894,0,226784.58,0.0,0,0.0,1758.02,0.0,0.0,0.0,0.0
1,0.0,5,0.0,0.4931851263728992,3.83,0.8,3.83,0.0,3,2.395,3.727,1,19359.07,0.5068148736271006,0,3.83,4192.16,0.1,0.0,0.0,0.0
0,79.0,398,120.0,0.4765045824207611,4.61038,0.2663316582914573,0.0,40.0,46,94.08,1225.388415,133,982426.5,0.5234954175792388,1,140.0,5243.69,0.002108,1460.94,0.0,2800100.0
1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,3,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,2,16.710449,16.71044882,0,60463.37,0.0,0,0.0,30231.68,0.0,0.0,0.0,0.0
1,3.0,24,3.0,0.500004754739166,19.874192,0.9583333333333334,19.874192,0.0,23,4.0,19.87457047,1,121959.33,0.499995245260834,1,19.874192,93.39,0.004709,0.0,0.0,0.0
0,0.0,5,0.0,0.5000001767866692,666.999528,0.4,0.024528,0.0,2,1900.529431,2001.0,3,5.65,0.4999998232133307,0,1488.680936,0.0,100.470569,1.88,0.0,0.0
1,2.0,27,2.0,0.5000088152255668,24.417549,0.9629629629629628,24.417549,0.0,24,4.99,24.41841032,1,67868.9,0.4999911847744331,1,24.417549,435.35,0.00836,0.0,0.0,0.0
1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,2,0.0,0.5029717253473481,0.036879,0.5,0.036879,0.0,1,0.03732,0.03732016,1,186986.45,0.4970282746526518,0,0.036879,0.0,0.03732,0.0,0.0,0.0
1,0.0,41,0.0,0.5000038034567766,42.09954000000001,0.951219512195122,21.15,0.0,35,6.0,84.20036165,2,38990.92,0.4999961965432233,0,63.04908100000001,21.82,0.0,19069.91,0.0,0.0
0,0.0,5,0.0,0.500003728740678,33.666165,0.4,2.629734,0.0,2,89.397459,101.0,3,331.53,0.4999962712593219,0,91.568039,0.02,11.602541,110.5,0.0,0.0
0,0.0,6,0.0,0.500109198354436,1.277775,0.5,0.997012,0.0,2,1.838,3.835,2,95596.18,0.4998908016455639,0,1.8372580000000005,31633.86,0.997,231.53,0.0,0.0
0,0.0,4,0.0,0.5000050379220479,33.665988,0.25,0.252453,0.0,1,101.0,101.0,3,58.22,0.499994962077952,0,71.377422,0.0,101.0,19.41,0.0,0.0
0,0.0,26,0.0,0.5001814034361878,0.470469,0.3846153846153846,0.000435,0.0,9,2.501,7.53296424,12,942170.67,0.4998185965638122,0,2.449538,93974.05,0.00415,151.89,0.0,0.0
1,2.0,14,2.0,0.5000292263643513,0.83491,0.4285714285714285,0.025939,0.0,5,3.81,6.680061500000001,8,6617.85,0.4999707736356487,1,3.439671,407.44,0.088285,521.65,0.0,0.0
0,0.0,2,0.0,0.5005172011078114,0.29938,0.5,0.29938,0.0,1,0.3,0.3,1,253.25,0.4994827988921885,0,0.29938,0.0,0.3,0.0,0.0,0.0
0,3.0,179,3.0,0.5003232504186186,0.361183,0.6424581005586593,0.195462,0.0,2,0.236046,23.14558914,2,426983.55,0.4996767495813814,0,3.059427,2966.99,0.05,1340.31,0.0,0.0
0,0.0,848,0.0,0.5001291179739211,1.131377,0.5,0.000805,0.0,4,29.995,479.9515665,332,698421.98,0.4998708820260789,0,29.994559,1630.94,0.050098,16.28,0.0,0.0
